133,665
115,540
119,604
129,641
134,586
133,593
130,551
131,655
222,1039
102,481
126,533
138,706
114,648
115,505
110,526
124,632
150,797
245,1287
153,743
117,607
138,654
121,615
124,642
156,762
133,665
107,583
245,1265
127,637
122,578
109,560
117,551
123,675
128,620
128,694
121,537
253,1225
123,606
120,590
103,482
122,547
142,659
120,600
145,699
106,549
232,1149
109,530
126,667
99,530
123,628
109,567
146,699
115,554
117,614
248,1177
106,490
128,521
117,536
121,594
126,718
148,711
140,703
132,677
239,1200
263,1270
132,607
115,524
114,597
95,465
142,790
117,600
119,653
249,1231
